Attendance,InternalMarks,AssignmentMarks,PracticalMarks,QuizMarks,TotalScore
86.19,84.75,77.38,59.64,65.62,75.31599999999999
83.49,51.19,88.69,80.39,76.75,71.5315
89.94,54.13,69.79,51.88,51.16,56.153
62.86,87.58,97.24,65.84,89.59,72.9865
80.9,45.6,91.37,73.63,81.02,66.35650000000001
73.0,66.25,99.24,53.71,59.61,64.865
89.12,41.38,93.81,77.2,60.77,69.5955
65.46,60.81,80.84,65.52,63.12,72.633
82.16,81.94,79.92,99.64,78.83,87.8815
94.11,45.41,56.48,81.55,77.42,64.38799999999999
70.11,93.3,86.12,62.21,63.69,73.1925
53.33,94.57,80.01,55.13,84.7,70.321
75.8,46.3,75.35,52.04,94.45,62.992
67.3,99.44,84.66,54.54,52.18,70.3875
83.61,57.85,72.2,84.0,70.86,72.54599999999999
97.55,45.05,76.19,92.75,79.68,77.9165
74.28,40.3,69.92,57.84,79.32,61.622
73.31,64.51,85.87,70.11,50.98,73.283
82.73,77.79,93.83,67.71,60.53,71.8215
55.17,59.93,92.04,82.23,53.09,76.0085
62.68,90.2,89.3,59.13,78.45,65.054
95.95,83.0,50.69,97.67,82.27,83.509
83.5,61.01,95.59,86.43,57.99,75.338
50.67,84.06,63.74,97.75,66.65,74.43
60.23,96.43,94.4,63.87,66.49,74.9845
84.14,45.59,59.85,79.39,90.99,66.30199999999999
88.22,58.37,71.98,86.61,59.73,75.681
91.99,67.8,87.47,85.55,77.42,76.83000000000001
64.61,69.88,82.01,51.07,89.15,68.752
96.55,72.53,70.8,99.91,91.48,75.9855
77.65,58.04,83.93,96.4,83.33,75.426
84.83,80.04,77.45,55.99,64.98,65.02850000000001
79.84,78.71,63.79,77.18,91.15,73.1315
56.14,74.67,82.32,65.73,87.11,75.7835
98.16,46.83,60.21,93.94,85.22,74.35749999999999
56.14,68.62,84.7,84.88,53.37,81.064
62.74,61.37,50.16,61.18,52.16,64.03200000000001
90.68,69.46,77.44,51.69,84.77,72.5165
80.93,95.31,70.05,64.59,97.24,68.915
91.91,68.83,65.16,51.91,88.69,59.7955
75.79,40.84,75.79,57.07,91.57,61.50750000000001
68.85,66.33,82.27,81.81,77.25,69.90799999999999
96.09,89.24,98.27,87.25,65.23,81.782
51.81,86.8,91.65,73.4,83.89,77.6165
92.81,70.8,85.86,80.01,85.6,75.547
61.54,54.99,73.95,57.79,83.77,67.9125
92.44,67.91,69.61,65.84,97.34,78.149
56.96,73.82,51.63,85.64,68.36,76.6455
79.01,99.99,67.95,68.24,51.98,64.666
94.41,78.65,92.42,67.44,95.42,74.307
73.68,81.66,69.2,59.7,58.02,60.2085
87.33,69.49,73.08,79.74,84.87,69.842
90.23,61.27,63.59,90.48,93.66,75.854
86.82,88.78,63.71,73.47,65.51,71.65050000000001
96.27,69.7,53.09,55.78,91.52,59.417
72.34,99.68,80.69,91.92,66.6,82.834
58.66,67.43,72.4,53.57,89.71,68.679
52.39,44.08,80.3,73.59,53.49,58.353
62.32,80.95,77.34,63.05,82.76,69.057
57.16,42.8,89.94,96.82,83.86,84.0555
77.9,55.03,87.55,86.88,74.57,74.983
59.25,61.22,88.57,78.32,84.35,73.5945
51.95,84.37,74.96,83.39,96.16,75.5375
51.8,69.65,67.69,76.64,86.69,66.86200000000001
91.58,41.72,96.67,57.38,98.06,60.661
79.57,77.01,52.71,85.45,72.43,74.9885
67.9,64.69,57.63,74.63,76.41,64.408
94.71,95.31,70.98,81.72,63.19,74.5985
53.51,69.97,80.7,52.26,99.28,59.31649999999999
99.02,82.54,50.41,57.1,52.76,66.93849999999999
80.81,53.13,85.97,79.47,67.93,66.889
59.17,85.66,77.94,72.97,64.88,71.279
83.95,83.26,74.24,61.34,69.33,70.02000000000001
88.17,94.24,71.17,62.04,95.89,70.35999999999999
71.47,42.03,75.97,81.58,68.4,64.644
93.08,66.85,58.09,52.95,95.85,62.0185
57.54,80.75,55.44,71.71,71.17,74.93100000000001
63.94,45.71,64.48,76.16,92.74,75.9055
54.67,64.64,85.48,65.41,76.09,65.57499999999999
60.54,96.53,79.41,91.03,65.57,75.5145
61.94,66.16,74.01,52.84,72.47,58.897000000000006
95.88,99.12,78.58,93.29,71.22,83.8565
53.91,43.41,77.96,86.16,63.0,68.92349999999999
71.37,83.07,65.35,72.31,64.48,74.839
76.62,74.86,54.87,96.22,59.32,76.14
94.93,70.03,94.84,85.11,66.8,81.971
99.88,98.25,80.0,96.55,81.22,87.547
87.67,47.78,84.89,73.63,69.33,75.51249999999999
98.54,93.76,73.2,72.65,85.62,76.67850000000001
89.36,81.47,87.82,76.54,99.35,73.483
98.16,55.54,79.22,53.27,68.86,65.071
85.36,94.1,52.69,95.42,73.13,78.9025
53.99,65.76,94.5,83.39,58.21,75.657
70.1,88.85,65.28,80.88,69.61,71.49199999999999
82.33,63.33,56.89,96.32,86.34,78.38799999999999
67.54,91.06,54.4,99.68,60.87,78.905
63.67,78.2,86.02,58.17,59.1,69.64150000000001
78.87,48.46,85.2,87.45,68.82,69.26599999999999
96.68,78.98,85.01,79.0,90.93,75.3615
51.75,51.48,95.79,73.05,81.18,67.216
88.46,64.72,67.45,98.88,97.88,85.2475
86.14,50.22,78.06,92.51,95.23,78.57300000000001
98.2,41.32,80.97,84.84,57.56,65.9265
96.54,52.71,98.97,69.13,52.13,60.0565
88.11,72.18,65.62,83.3,69.95,72.825
76.02,68.89,97.82,76.58,76.1,73.0655
60.21,70.09,57.44,62.47,75.78,72.111
77.26,54.86,88.2,72.52,56.71,68.466
88.27,81.11,81.64,60.61,56.24,66.55950000000001
94.78,82.26,90.84,75.02,52.34,78.295
89.49,61.48,51.43,86.01,92.54,69.861
59.76,92.87,53.91,51.83,97.39,70.48
79.98,78.64,53.48,88.27,55.78,68.4545
66.61,82.78,79.65,51.0,60.66,74.348
50.46,56.64,80.15,75.86,54.49,72.338
60.01,40.04,95.31,78.67,93.88,80.9515
55.66,91.92,73.38,88.06,97.94,74.65950000000001
92.14,89.35,53.4,88.05,63.09,73.4765
62.93,47.39,60.48,70.87,65.18,65.25699999999999
64.23,62.45,50.4,53.32,68.13,60.9915
98.0,79.68,88.84,84.68,75.12,72.9665
68.95,79.13,90.78,75.55,84.12,76.786
50.48,91.62,99.9,66.65,75.22,70.2125
64.19,48.42,70.61,61.74,97.55,66.8715
55.96,65.8,50.96,55.99,54.99,59.6275
55.14,45.83,61.74,64.76,89.93,60.7265
53.87,63.38,79.39,72.92,66.72,64.1985
79.66,40.91,98.1,73.88,68.88,69.68849999999999
59.47,93.9,55.18,79.14,85.44,71.3055
68.06,71.62,56.08,68.12,96.47,76.0355
93.1,90.99,85.09,95.99,85.81,80.8425
71.22,43.59,83.36,74.79,88.79,75.0735
95.78,53.65,62.53,71.19,87.54,68.5305
74.9,55.56,90.66,52.41,66.05,63.7085
69.94,63.2,56.44,79.95,87.85,66.02600000000001
87.52,88.17,96.29,80.14,89.23,84.2065
53.66,63.19,60.05,79.16,76.67,70.8485
54.47,52.28,54.07,94.38,76.84,69.618
82.6,43.9,66.98,88.15,87.99,67.361
74.35,44.77,59.39,93.37,90.85,76.9725
89.52,85.6,76.35,52.97,66.86,71.5945
95.81,66.69,84.34,65.91,90.08,69.8455
69.42,83.57,74.55,65.94,90.71,72.29599999999999
79.82,80.94,83.03,82.85,61.71,76.69149999999999
75.03,48.12,68.25,72.43,85.85,67.212
99.08,48.57,51.4,88.87,59.33,61.1595
91.55,85.32,98.7,69.22,54.65,72.799
95.59,83.28,90.97,61.08,78.73,77.30449999999999
62.72,62.68,53.67,64.55,95.43,57.74550000000001
88.63,44.65,72.46,59.12,51.77,60.702
63.27,40.73,81.75,59.89,91.33,69.18950000000001
60.44,57.29,59.53,60.84,75.32,58.7995
97.21,40.55,78.9,50.8,93.04,58.2715
50.97,53.8,76.68,85.8,92.17,80.764
98.27,65.17,60.41,69.98,93.76,66.7295
57.46,47.28,57.06,51.13,88.44,56.329
90.97,46.26,87.95,68.5,92.15,67.1065
63.8,93.79,66.13,95.27,58.8,78.7765
67.54,75.13,62.2,75.56,65.19,77.63399999999999
60.84,96.07,86.89,99.34,62.12,87.3955
79.28,60.75,86.8,77.0,87.12,70.2295
67.4,80.63,63.82,98.14,57.68,77.9125
82.87,52.28,93.63,60.09,59.11,73.3495
50.78,77.1,84.41,64.5,93.95,66.144
53.22,47.78,67.29,85.0,85.29,69.3645
54.98,40.12,71.37,99.34,93.77,81.795
70.95,95.89,86.34,91.26,56.97,85.8545
90.74,73.29,60.58,77.69,69.95,65.46000000000001
94.41,95.62,73.44,54.26,64.16,61.8455
62.24,60.03,82.68,68.22,50.48,67.858
78.72,59.67,76.97,54.32,64.23,56.16
88.42,64.04,80.42,65.56,68.98,70.1075
64.44,82.36,77.31,62.94,54.61,62.586
70.45,73.95,59.96,69.43,78.32,60.0225
76.2,95.52,70.51,91.86,69.16,80.441
56.74,41.53,76.6,57.52,52.32,68.415
51.3,82.49,89.0,65.3,85.2,72.606
57.64,59.82,82.7,63.06,86.46,69.0695
81.34,50.81,71.33,64.81,91.72,74.801
53.68,70.62,98.72,68.03,74.28,74.693
59.48,70.3,55.39,62.22,98.43,67.61
66.89,48.22,60.34,97.13,95.7,74.1105
53.89,52.11,67.07,71.01,77.57,62.02199999999999
59.58,64.49,61.43,55.71,72.25,60.633500000000005
95.56,64.53,81.27,73.38,50.15,69.1215
50.96,59.05,51.98,59.22,85.55,61.863
82.67,48.91,58.87,60.81,78.25,56.99250000000001
69.22,40.26,64.67,64.25,96.88,61.07
83.63,98.21,84.17,56.24,79.71,72.425
79.43,96.61,93.79,86.06,99.64,78.857
61.17,69.02,89.92,89.6,92.69,72.3
92.36,99.7,59.1,69.71,97.68,83.15100000000001
74.6,80.42,78.27,84.45,66.38,78.34899999999999
91.13,44.13,51.5,69.45,57.47,54.584
70.3,47.06,65.53,58.2,89.84,64.34
99.23,94.97,90.3,69.86,89.31,71.967
88.52,77.8,72.83,77.85,60.57,73.779
98.3,90.59,57.5,52.05,88.24,70.4425
75.72,93.9,71.93,82.72,79.1,77.8355
73.68,66.88,59.9,87.13,55.48,74.6315
87.77,42.91,69.66,93.0,75.09,65.2045
94.01,51.3,74.39,55.14,96.56,70.109
98.21,43.99,67.48,50.0,75.32,55.3025
66.23,51.32,96.85,53.66,89.43,67.34899999999999
89.94,64.63,78.13,96.21,51.45,80.85199999999999
60.53,47.09,92.14,88.28,86.4,73.861
77.28,50.0,88.04,91.77,97.34,84.6985
58.99,66.75,83.06,75.85,74.98,64.4745
67.37,60.41,74.84,76.34,66.89,67.93100000000001
96.57,68.06,50.11,64.93,82.33,59.3575
57.3,65.75,80.67,92.14,95.81,81.5985
81.62,78.67,67.8,91.49,58.84,66.6965
79.65,96.23,55.89,69.61,70.18,65.564
56.04,46.47,72.23,66.46,57.81,60.0565
66.3,45.96,86.78,86.92,74.83,76.04000000000002
78.15,91.17,98.08,51.31,77.02,68.3025
59.36,70.38,68.71,93.0,97.21,81.98949999999999
90.03,85.98,77.14,72.31,70.63,66.4715
98.61,52.93,92.56,72.07,78.35,62.592
60.74,89.73,66.7,83.45,94.26,74.4355
59.35,95.43,57.11,82.29,66.07,83.26249999999999
72.75,78.13,64.09,63.3,83.71,61.739
87.39,46.35,94.96,97.16,87.86,74.2705
64.08,93.72,57.97,99.32,66.53,82.61
50.99,87.55,66.46,76.3,58.22,69.676
77.06,85.05,73.23,78.07,75.15,80.07799999999999
97.83,42.2,92.36,77.72,67.84,67.509
69.56,87.94,96.89,74.29,63.32,73.5885
71.01,48.28,71.29,97.26,98.67,75.1855
98.45,53.34,96.6,62.24,75.11,67.70649999999999
84.73,74.63,58.07,55.4,92.82,69.09449999999998
85.96,55.9,57.84,96.48,59.77,76.772
78.14,79.68,97.46,60.65,96.97,76.9505
98.73,76.48,75.48,87.46,89.72,82.399
84.44,46.49,59.3,60.19,90.43,60.766000000000005
94.75,79.36,74.4,98.01,69.49,74.041
84.97,95.44,89.16,89.56,74.28,83.09349999999999
86.76,49.67,91.35,95.94,79.67,81.592
64.52,75.82,93.2,97.55,89.49,76.9945
65.17,60.51,78.48,54.22,92.45,65.812
89.15,67.58,93.35,71.67,53.9,69.188
64.84,57.22,75.5,82.41,95.2,79.3135
78.14,61.25,80.35,90.12,96.87,82.7305
62.47,41.73,87.94,62.07,79.64,65.15299999999999
90.85,98.89,71.27,95.73,59.34,72.427
55.53,77.49,53.68,61.05,90.92,71.2475
91.47,70.04,67.51,93.31,77.43,80.891
80.14,63.02,81.2,75.64,90.86,70.79599999999999
59.35,72.36,59.62,75.77,90.74,72.502
77.1,62.81,57.42,68.7,54.34,69.0185
64.12,61.59,64.65,55.18,80.35,60.9075
66.17,67.84,51.61,67.35,74.16,60.766
67.58,56.56,87.17,71.34,97.31,66.55000000000001
53.17,50.8,62.94,73.95,64.83,65.12650000000001
99.3,73.4,56.21,86.95,60.3,79.709
51.58,90.57,84.96,67.6,94.85,76.0295
83.12,49.17,92.15,70.33,57.44,64.151
68.56,41.96,50.99,95.3,84.33,71.968
82.3,54.81,61.68,87.63,65.0,69.88
67.81,98.78,97.26,51.14,78.39,73.852
83.69,89.73,69.26,90.6,80.81,75.332
86.46,75.75,96.93,99.5,70.87,82.4665
84.53,95.75,63.71,96.99,98.75,79.90849999999999
55.7,66.72,60.9,91.8,56.59,66.222
82.84,99.0,60.71,81.46,69.57,76.419
64.0,57.78,54.26,63.91,71.52,71.546
51.44,54.42,94.82,82.72,81.55,71.752
70.74,78.28,98.99,84.78,70.36,87.56299999999999
71.68,62.69,97.73,64.08,54.85,62.61449999999999
73.36,77.58,92.6,62.77,97.37,78.1325
85.24,58.3,92.34,69.85,70.8,62.806
65.44,77.08,83.05,82.06,67.13,70.478
65.76,56.54,91.31,64.65,72.34,71.23400000000001
53.03,43.06,60.42,77.78,60.83,64.9515
84.34,94.73,69.4,94.96,55.01,80.701
78.39,92.99,82.04,64.76,57.43,73.6405
67.47,98.25,93.74,98.3,58.33,85.7665
85.26,82.99,83.02,73.67,59.88,79.71549999999999
76.87,80.96,91.95,55.05,71.0,69.42399999999999
73.46,73.54,73.7,52.75,81.19,61.91
75.57,47.56,85.87,66.93,81.44,63.135
81.82,51.35,99.0,62.94,50.0,67.05449999999999
83.0,57.37,57.67,92.19,96.05,77.8805
64.45,93.41,96.35,86.88,91.14,77.3645
57.04,50.38,76.12,94.23,98.2,70.334
57.83,95.37,82.16,79.46,68.0,73.215
81.97,71.37,93.89,71.77,83.24,73.544
93.64,82.93,70.48,63.53,58.4,64.338
70.47,46.61,70.93,79.16,90.85,64.87899999999999
58.48,56.14,76.36,80.9,58.07,71.8645
87.83,97.51,50.96,69.65,66.3,73.0155
91.62,55.97,74.83,96.83,74.54,74.69550000000001
94.03,57.79,64.55,82.0,79.73,69.6965
80.34,51.86,96.4,91.87,77.98,71.10050000000001
93.04,47.74,54.39,81.02,55.1,73.318
50.77,54.0,72.97,65.83,71.08,62.205
55.36,78.54,97.37,86.83,96.15,87.27799999999999
54.63,67.32,95.05,61.51,93.62,79.3355
85.63,73.23,85.07,79.83,79.54,82.21549999999999
53.48,47.34,79.47,70.12,78.62,58.5395
74.82,88.13,64.04,57.49,55.58,64.13300000000001
73.64,87.05,68.35,70.66,60.01,64.78649999999999
65.54,41.3,54.51,65.51,62.63,64.965
93.52,63.01,89.31,55.61,74.41,70.86699999999999
58.52,44.13,66.19,91.19,86.57,81.302
67.62,87.53,83.39,74.93,73.04,75.541
88.71,84.24,67.88,67.32,56.3,70.07149999999999
51.52,94.12,73.22,75.25,71.97,75.178
83.65,54.18,77.75,87.73,58.13,72.244
90.82,67.38,90.09,50.91,87.56,69.5445
96.61,51.07,60.56,77.34,58.33,67.7345
93.81,62.27,69.94,73.96,74.13,76.3525
65.97,71.33,56.5,94.65,84.67,78.704
79.32,43.2,53.79,77.8,61.41,68.482
53.86,82.89,80.23,56.87,53.8,70.9865
62.89,72.6,59.45,69.43,78.16,71.06
54.71,89.74,52.99,81.05,52.71,68.37299999999999
65.76,56.31,94.85,52.3,79.39,65.90549999999999
93.76,94.2,76.72,94.23,87.67,83.5515
67.36,99.92,56.73,53.39,66.47,60.384
78.09,95.16,52.67,51.53,74.42,61.588
71.67,86.67,55.99,50.1,96.44,71.133
72.95,88.74,73.57,84.19,73.56,69.142
98.48,74.42,83.42,72.8,99.83,80.589
64.81,51.41,82.06,55.14,57.85,69.63
81.37,80.62,57.22,92.81,85.45,78.349
71.0,82.77,81.67,60.14,82.63,73.696
53.06,99.12,70.24,66.32,93.62,77.4845
74.47,72.48,73.24,58.89,54.62,64.697
90.67,56.28,90.07,96.34,64.01,70.2955
54.94,81.02,66.62,87.9,56.61,81.192
53.48,98.76,57.35,86.2,96.65,76.8965
57.68,50.63,93.67,52.2,71.33,64.723
88.22,59.56,60.61,76.14,95.5,69.08249999999998
86.2,72.51,64.7,78.77,64.72,62.95949999999999
78.25,50.21,85.33,69.13,56.32,75.872
73.41,41.33,84.18,66.09,64.83,71.854
94.42,60.22,90.02,92.6,79.86,74.6795
88.33,91.92,59.19,51.15,92.26,73.1275
90.6,42.61,67.61,81.27,69.27,71.1035
90.66,65.74,56.29,69.71,95.74,68.0765
82.14,85.73,77.05,83.3,62.21,76.73299999999999
72.9,97.19,64.63,59.9,84.68,62.536
93.23,99.13,84.45,61.93,86.79,75.875
96.3,65.32,50.02,79.34,63.7,58.943
51.19,97.02,52.98,99.0,51.35,79.5175
52.58,42.13,71.63,98.73,68.26,75.25399999999999
97.94,84.76,97.91,62.45,52.26,76.244
63.86,78.56,94.54,55.12,95.04,76.11500000000001
93.67,54.97,99.7,79.52,97.68,71.732
69.44,70.44,70.84,71.0,86.77,75.8215
55.96,47.77,52.33,88.08,86.33,70.23949999999999
54.02,92.3,65.3,76.4,62.04,75.844
57.83,61.47,83.79,75.53,53.7,63.408
62.49,77.56,56.76,82.32,90.11,79.5375
74.43,49.53,65.0,56.32,77.96,66.8365
85.07,52.37,52.81,83.86,84.08,72.393
99.32,99.52,73.75,74.43,88.98,82.505
72.08,85.19,60.45,91.01,70.47,73.956
75.91,97.72,54.56,56.94,57.23,71.19949999999999
76.09,57.75,70.56,65.04,89.75,68.67099999999999
76.97,49.87,67.56,97.51,72.69,67.6965
75.89,70.18,76.88,77.65,91.35,74.56649999999999
50.44,69.68,87.45,96.47,71.88,83.366
50.09,50.5,55.63,84.45,60.85,62.2195
54.88,83.99,89.56,96.32,58.55,72.42599999999999
55.08,61.71,51.31,65.89,87.2,59.9675
85.24,51.18,72.16,54.53,78.74,62.4665
60.25,59.92,79.37,90.11,70.23,70.592
94.74,73.82,97.85,90.22,74.61,74.1075
96.43,83.59,78.7,80.94,77.48,75.2335
98.79,68.91,57.94,78.98,61.97,76.886
96.95,71.54,75.88,95.75,68.91,81.1365
63.59,48.34,69.79,58.82,64.62,57.8525
75.49,94.88,73.97,80.83,69.42,84.1885
58.77,95.72,59.85,52.49,75.03,69.3255
90.31,81.01,75.04,57.04,58.67,63.609
94.42,41.06,57.5,71.86,69.68,63.67
92.56,72.22,87.2,91.06,69.27,76.763
71.67,77.75,79.7,86.66,64.3,73.3055
87.93,99.68,53.93,98.7,99.92,79.3985
54.88,99.76,94.48,52.24,53.68,69.3835
52.01,91.46,80.82,69.07,82.15,75.41300000000001
87.66,43.83,65.81,57.94,58.72,63.535
71.27,97.2,52.28,51.85,91.98,64.4875
99.78,76.76,81.61,63.22,95.71,76.77499999999999
54.86,88.05,68.67,62.22,70.07,70.6785
92.78,64.43,95.38,71.0,91.17,82.366
74.0,59.18,51.74,57.0,62.5,56.533
91.36,67.79,51.96,74.43,57.0,73.154
90.86,48.81,97.46,96.0,65.79,81.9395
95.8,61.42,98.24,87.41,67.08,76.615
64.89,91.46,51.39,92.11,69.87,77.035
97.49,42.28,85.8,90.24,68.65,64.549
57.58,49.05,61.07,69.48,70.56,70.9555
54.1,47.51,85.07,85.45,85.5,67.307
71.58,64.18,93.44,87.71,62.28,79.5665
91.42,99.82,55.04,60.28,50.93,65.70100000000001
73.67,50.4,61.94,93.01,74.48,72.7795
91.46,48.73,51.2,72.89,72.41,65.755
86.48,94.9,52.19,50.82,53.0,70.27699999999999
60.47,92.92,51.48,82.17,56.69,70.17750000000001
97.44,41.93,90.03,83.84,75.5,80.11600000000001
53.04,85.1,64.91,77.59,61.74,72.81
94.91,79.33,74.66,60.62,93.88,63.935
65.22,86.06,89.39,74.11,58.66,67.6315
75.01,69.67,74.75,70.01,51.01,71.2995
71.12,99.48,71.46,98.73,72.38,73.743
